44.118,7.865,1.4
44.506,10.141,2
44.511,10.148,1.9
44.553,10.122,1.8
44.11,7.884,1.2
44.536,10.134,1.5
44.551,10.165,1.7
44.346,10.008,1.4
44.891,11.202,2.5
43.929,11.619,1.9
44.898,11.258,4.1
44.886,11.296,2.2
44.889,11.228,5.9
44.886,11.189,4.8
44.863,11.37,5.1
44.84,11.367,4.3
44.823,11.218,4.3
44.842,11.14,3.2
44.821,11.572,3.4
44.905,11.395,3.8
44.892,11.155,4.1
44.871,11.348,4
44.872,11.412,3.6
44.874,11.475,3.5
44.923,11.265,3.8
44.876,11.548,4
44.856,11.191,3.7
44.894,11.261,4
44.85,11.412,3.6
44.778,11.341,3.8
44.848,11.401,3.4
44.882,11.073,2.5
44.955,11.088,2.6
44.934,11.097,3.2
44.867,11.108,3
44.88,11.38,3.1
44.86,11.095,4.9
44.876,11.16,3.7
44.859,11.295,3.7
44.882,11.434,2.8
44.887,11.169,2.7
45.075,11.069,2.8
44.862,11.22,2.4
44.84,11.4,3.3
44.859,11.214,3.3
44.848,11.271,2.9
44.879,11.147,2.9
44.908,11.202,2.7
44.898,11.256,2.6
44.912,11.393,2.7
44.831,11.286,2.9
44.856,11.255,2.7
45.1,11.611,2.8
44.935,11.31,2.6
44.911,11.218,2.5
44.912,11.411,2.9
44.909,11.247,2.8
44.901,11.269,2.6
44.839,11.127,2.8
44.807,11.461,2.1
44.807,11.337,2.4
44.9,11.212,3
44.836,11.354,2.2
44.843,11.388,2.2
44.894,11.18,2.4
44.852,11.332,2.3
44.841,11.478,2.6
44.886,11.213,3.1
44.855,11.03,2
44.888,11.149,2.5
44.899,11.205,2.3
44.88,11.119,2.2
44.879,11.094,3.2
44.904,11.123,3.2
44.891,11.382,2.5
44.899,11.135,2.7
44.712,11.136,2.5
44.73,11.245,2.4
44.866,11.082,2.5
44.863,11.209,2.2
44.886,11.514,3.5
44.898,11.565,3.1
44.911,11.322,3
44.925,11.093,3.5
44.815,11.453,2.9
44.891,11.129,2.7
44.875,11.1,3.6
44.83,11.267,2.7
44.891,11.369,2.5
44.904,11.095,2.8
44.864,11.217,3.4
44.921,11.657,2.4
44.899,11.106,2.2
44.879,11.241,4.2
44.896,11.324,2.5
44.902,11.16,2.6
44.862,11.246,2.6
44.872,11.318,2.2
44.915,11.132,3.8
44.849,11.431,2.7
44.886,11.263,2.5
44.879,11.12,2
44.809,11.198,2.4
44.878,11.277,3.3
44.887,11.345,3.5
44.842,11.494,2.3
44.917,11.246,3
44.896,11.226,2.8
44.915,11.272,2.2
44.895,11.114,2.5
44.902,11.071,2.3
44.85,11.497,2.4
44.536,11.077,2.1
44.903,11.267,2.4
44.884,11.223,2
44.866,11.366,3.9
44.879,11.365,3.3
44.831,11.49,5.1
44.882,11.383,4.1
44.829,11.451,2.7
44.802,11.48,2.3
44.896,11.252,2.1
44.871,11.206,2.6
44.827,11.343,2.3
44.874,11.373,2.8
44.947,11.171,2.7
44.9,11.143,2.5
44.89,11.441,2.4
44.879,11.329,3.7
44.831,11.32,2.3
44.841,11.317,2.3
44.925,11.164,2.3
44.92,11.293,2.7
44.889,11.383,2.1
44.871,11.446,2.8
44.859,11.358,2.2
44.896,11.349,2.4
44.9,11.296,2.6
44.903,11.266,2.5
44.896,11.263,3
44.919,11.268,2.4
44.923,11.079,3.1
44.913,11.193,2.9
44.746,11.43,2.5
44.876,11.382,4.5
44.95,11.251,3.5
44.872,11.367,2.3
44.878,11.298,3.1
44.918,11.195,2.9
44.899,11.226,3.3
44.914,11.363,2.4
44.901,11.381,2.3
44.899,11.13,3.1
44.863,11.417,2.2
44.882,11.179,2.7
44.883,11.269,2.5
44.879,11.175,2.7
44.817,11.518,2.7
44.83,11.165,2.3
44.928,11.455,2.5
44.906,11.537,2.2
44.887,11.43,2.4
44.852,11.323,2
44.915,11.182,2.7
44.813,11.349,2.4
44.886,11.165,2.8
44.825,11.425,2.4
44.873,11.387,2.6
44.888,11.35,2.3
44.836,11.479,3.6
45.717,7.819,2.6
44.938,11.639,2.2
45.704,10.919,1.8
44.868,11.355,3.7
44.908,11.163,2.3
44.913,11.134,2.7
44.876,11.284,2.6
45.038,10.87,2.2
44.902,11.4,2.7
44.879,11.12,3.5
44.881,11.186,2.3
44.862,11.126,2.1
44.822,11.421,2.3
44.828,11.24,2.5
44.879,11.207,3.1
44.884,11.088,2.4
44.891,11.417,2.3
44.893,11.184,2.2
